L1_algorithm,L2_algorithm,wr_pol,cost,latency,workload,tot_req,reads,writes,requests
lru,lru,wb-et,12.66866111,0.184270874,w71,290967,38.41,61.59,5.75
arc,arc,wb-et,41.73668534,0.650508343,w100,236756,2.89,97.11,23.29
arc,arc,wb-et,1486.477934,0.722628298,w14,7587257,75.6,24.4,22.3
lru,lru,wb-et,4.567079441,0.207831187,w40,181276,2.36,97.64,7.69
arc,arc,wb-et,11.243017,0.171759882,w106,139141,19.98,80.02,7.58
lru,lru,wb-et,145.1859522,0.799538066,w104,235503,83.15,16.85,50.98
arc,arc,wb-et,252.4782548,0.770530195,w64,1178756,91.66,8.34,78.35
arc,arc,wb-et,41.89579761,0.519181727,w89,125386,40.17,59.83,25.65
lru,lru,wb-et,0.825106261,0.344119219,w47,211877,0.33,99.67,1.68
arc,arc,wb-et,9.775882171,0.643249394,w68,376853,9.44,90.56,4.33
arc,arc,wb-et,29.99430933,0.862168748,w85,405302,97.4,2.6,14.13
arc,arc,wb-et,59.97509613,0.163431985,w90,489323,95.25,4.75,8.17
lru,lru,wb-et,21.33678512,0.821395009,w105,243780,89.94,10.06,17.41
lru,lru,wb-et,49.96887413,0.017950962,w19,4598911,97.46,2.54,0.8
arc,arc,wb-et,63.02565881,0.540049022,w61,660778,68.59,31.41,10.86
arc,arc,wb-et,76.43574345,0.652421348,w83,157428,63.65,36.35,31.43
lru,lru,wb-et,124.561408,0.686701706,w23,1712812,58.01,41.99,7.42
arc,arc,wb-et,15.60591687,0.387007081,w57,375954,9.49,90.51,3.17
arc,arc,wb-et,144.5456541,0.593481995,w22,509607,87.74,12.26,33.06
arc,arc,wb-et,2.894194384,0.457602961,w67,167197,36.15,63.85,5.03
lru,lru,wb-et,164.4463447,0.50886848,w37,493523,77.83,22.17,28.23
lru,lru,wb-et,49.55518927,0.2565384,w77,275631,57.56,42.44,13.38
lru,lru,wb-et,157.7740302,0.73794887,w05,13225814,90.41,9.59,15.37
lru,lru,wb-et,37.44941222,0.368137007,w91,217746,80.61,19.39,18.42
arc,arc,wb-et,344.5565298,0.364690247,w07,2120047,82.25,17.75,16.44
arc,arc,wb-et,91.66440446,0.310048337,w81,373197,90.91,9.09,13.54
lru,lru,wb-et,163.4686392,0.690099083,w23,1712812,58.01,41.99,7.42
arc,arc,wb-et,0.47529392,0.873159834,w105,243780,89.94,10.06,17.41
lru,lru,wb-et,14.97911905,0.187929415,w59,324961,49.4,50.6,6.97
arc,arc,wb-et,0.714271935,0.294218155,w73,173876,67.2,32.8,9.97
arc,arc,wb-et,82.27828767,0.300224337,w58,772098,51.61,48.39,10.09
arc,arc,wb-et,465.204007,0.82772583,w21,6771666,97.59,2.41,9.5
arc,arc,wb-et,24.70379597,0.178021692,w75,411410,16.12,83.88,6.76
arc,arc,wb-et,10.36069262,0.242332562,w56,552309,8.42,91.58,2.09
lru,lru,wb-et,24.71319584,0.839433157,w104,235503,83.15,16.85,50.98
lru,lru,wb-et,207.0681144,0.806829498,w48,3302837,95.94,4.06,11.52
lru,lru,wb-et,281.6862747,0.789344211,w21,6771666,97.59,2.41,9.5
lru,lru,wb-et,6.75101775,0.240098124,w40,181276,2.36,97.64,7.69
arc,arc,wb-et,21.00164202,0.132130355,w71,290967,38.41,61.59,5.75
lru,lru,wb-et,912.780525,0.530212551,w46,5116665,25.78,74.22,21.84
lru,lru,wb-et,13.80859394,0.295792986,w95,151279,49.05,50.95,9.4
arc,arc,wb-et,186.268672,0.363101343,w27,484417,78.97,21.03,25.15
lru,lru,wb-et,19.84783335,0.445215821,w96,168442,5.02,94.98,13.79
arc,arc,wb-et,153.4976118,0.343816184,w24,1100386,80.61,19.39,19.91
lru,lru,wb-et,14.85426385,0.308558781,w63,564163,84.55,15.45,24.41
arc,arc,wb-et,580.5117646,0.793755128,w05,13225814,90.41,9.59,15.37
lru,lru,wb-et,4.940172631,0.175369262,w88,237846,32.58,67.42,5.02
arc,arc,wb-et,147.770785,0.316634935,w43,1390682,50.63,49.37,11.06
lru,lru,wb-et,25.67973808,0.835256602,w15,638670,82.33,17.67,21.82
lru,lru,wb-et,51.37392781,0.789089757,w93,351236,87.72,12.28,19.28
arc,arc,wb-et,2.29468981,0.640756912,w66,558560,61.15,38.85,0.49
lru,lru,wb-et,84.96233803,0.631840547,w97,245188,2.95,97.05,22.04
arc,arc,wb-et,10.43857038,0.426062961,w57,375954,9.49,90.51,3.17
lru,lru,wb-et,321.0576336,0.766065871,w64,1178756,91.66,8.34,78.35
arc,arc,wb-et,35.11211871,0.252342483,w17,1456893,12.4,87.6,4.14
arc,arc,wb-et,37.28641417,0.750043023,w105,243780,89.94,10.06,17.41
arc,arc,wb-et,104.944348,0.520509311,w104,235503,83.15,16.85,50.98
arc,arc,wb-et,140.9331676,0.634786707,w34,2243971,83.25,16.75,12.29
lru,lru,wb-et,12.09929102,0.239601805,w56,552309,8.42,91.58,2.09
lru,lru,wb-et,65.87178182,0.196519042,w61,660778,68.59,31.41,10.86
lru,lru,wb-et,31.13488591,0.578257729,w38,660412,56.94,43.06,7.4
arc,arc,wb-et,60.64546679,0.674047336,w23,1712812,58.01,41.99,7.42
lru,lru,wb-et,14.17667983,0.334600055,w77,275631,57.56,42.44,13.38
lru,lru,wb-et,278.3490158,0.769927915,w86,243749,44.47,55.53,74.81
arc,arc,wb-et,50.76022484,0.503854312,w62,292110,89.7,10.3,33.27
lru,lru,wb-et,20.63024075,0.19626324,w59,324961,49.4,50.6,6.97
lru,lru,wb-et,70.16555482,0.278210575,w69,417360,77.7,22.3,12.91
lru,lru,wb-et,1196.667874,0.187215475,w09,10826961,80.14,19.86,15.67
arc,arc,wb-et,64.19528453,0.589601873,w87,264130,40.78,59.22,30.24
lru,lru,wb-et,0.655732575,0.863549514,w61,660778,68.59,31.41,10.86
arc,arc,wb-et,152.4931791,0.310511615,w43,1390682,50.63,49.37,11.06
lru,lru,wb-et,8.267116336,0.242145665,w11,4531948,65.3,34.7,0.98
lru,lru,wb-et,90.06021766,0.251988285,w43,1390682,50.63,49.37,11.06
arc,arc,wb-et,7.7699431,0.558694853,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,256.9915073,0.658652566,w34,2243971,83.25,16.75,12.29
lru,lru,wb-et,3.929126086,0.821072197,w92,396548,95.61,4.39,14.74
lru,lru,wb-et,1531.715431,0.726458077,w14,7587257,75.6,24.4,22.3
arc,arc,wb-et,63.74079522,0.556578955,w50,768251,94.99,5.01,13.52
lru,lru,wb-et,33.01704479,0.740306745,w16,865023,87.32,12.68,18.22
lru,lru,wb-et,893.5843492,0.814395276,w64,1178756,91.66,8.34,78.35
arc,arc,wb-et,0.506619543,0.866785029,w44,291584,87.51,12.49,14.26
lru,lru,wb-et,767.4050613,0.834206358,w10,12588003,89.82,10.18,14.53
lru,lru,wb-et,1039.337604,0.241069077,w20,7027218,87.87,12.13,23.47
lru,lru,wb-et,38.65976687,0.407394975,w79,241488,38.46,61.54,61.67
arc,arc,wb-et,115.2430963,0.469074108,w32,773840,88.8,11.2,17.19
arc,arc,wb-et,44.47722546,0.192064073,w78,385485,53.72,46.28,12.37
arc,arc,wb-et,79.437664,0.569429101,w24,1100386,80.61,19.39,19.91
lru,lru,wb-et,9.698652108,0.210590282,w67,167197,36.15,63.85,5.03
arc,arc,wb-et,22.45235678,0.187991858,w52,232513,66.99,33.01,6.94
lru,lru,wb-et,15.61812303,0.25892836,w40,181276,2.36,97.64,7.69
arc,arc,wb-et,1290.101316,0.718530192,w14,7587257,75.6,24.4,22.3
lru,lru,wb-et,109.0577104,0.327221931,w07,2120047,82.25,17.75,16.44
arc,arc,wb-et,83.95139045,0.611027704,w98,251710,2.91,97.09,20.52
lru,lru,wb-et,65.42521515,0.218028642,w60,460498,74.99,25.01,11.26
arc,arc,wb-et,3831.38992,0.277545546,w04,18034724,74.22,25.78,15.69
arc,arc,wb-et,23.47974902,0.142830333,w51,761128,86.39,13.61,6.71
lru,lru,wb-et,109.7255798,0.348819033,w93,351236,87.72,12.28,19.28
lru,lru,wb-et,91.65763578,0.698298284,w55,150445,66.56,33.44,57.71
lru,lru,wb-et,19.79390807,0.246329551,w84,420458,10.24,89.76,7.95
lru,lru,wb-et,60.99756611,0.836477433,w92,396548,95.61,4.39,14.74
lru,lru,wb-et,10.91002315,0.332826628,w73,173876,67.2,32.8,9.97
arc,arc,wb-et,0.817202906,0.441365942,w35,651133,3.26,96.74,2.45
arc,arc,wb-et,102.8517438,0.416638567,w79,241488,38.46,61.54,61.67
arc,arc,wb-et,2325.991836,0.606446817,w03,17467759,75.74,24.26,16.69
arc,arc,wb-et,55.58623694,0.634907291,w98,251710,2.91,97.09,20.52
arc,arc,wb-et,212.3467405,0.778981905,w65,981095,96.09,3.91,13.97
lru,lru,wb-et,44.37062402,0.216037828,w17,1456893,12.4,87.6,4.14
arc,arc,wb-et,29.74757896,0.21474838,w11,4531948,65.3,34.7,0.98
lru,lru,wb-et,13.46424713,0.305268565,w59,324961,49.4,50.6,6.97
arc,arc,wb-et,9.867557951,0.174360048,w59,324961,49.4,50.6,6.97
arc,arc,wb-et,49.00916767,0.275539743,w77,275631,57.56,42.44,13.38
lru,lru,wb-et,279.0930526,0.377997616,w24,1100386,80.61,19.39,19.91
arc,arc,wb-et,6.159323006,0.174086373,w33,247964,4.33,95.67,7.03
lru,lru,wb-et,0.452288567,0.847792717,w91,217746,80.61,19.39,18.42
arc,arc,wb-et,130.7048415,0.235939921,w50,768251,94.99,5.01,13.52
lru,lru,wb-et,28.71869432,0.354736491,w69,417360,77.7,22.3,12.91
lru,lru,wb-et,2585.398359,0.643746349,w01,5710745,82.56,17.44,40.16
arc,arc,wb-et,12.46556514,0.38345221,w57,375954,9.49,90.51,3.17
lru,lru,wb-et,20.113402,0.687736965,w90,489323,95.25,4.75,8.17
arc,arc,wb-et,52.97598244,0.426125,w83,157428,63.65,36.35,31.43
arc,arc,wb-et,29.46257402,0.199452333,w78,385485,53.72,46.28,12.37
lru,lru,wb-et,10.50010656,0.06369261,w12,442789,39.92,60.08,2.37
arc,arc,wb-et,67.9837894,0.148451913,w17,1456893,12.4,87.6,4.14
arc,arc,wb-et,22.13999528,0.064960546,w36,729562,1.4,98.6,2.11
arc,arc,wb-et,41.65714917,0.17767825,w84,420458,10.24,89.76,7.95
arc,arc,wb-et,4.554643467,0.214192041,w45,211432,0.59,99.41,1.9
lru,lru,wb-et,44.79575886,0.809008278,w81,373197,90.91,9.09,13.54
arc,arc,wb-et,1.066170519,0.269331652,w75,411410,16.12,83.88,6.76
lru,lru,wb-et,30.0860318,0.493853643,w96,168442,5.02,94.98,13.79
arc,arc,wb-et,1.531904239,0.85736764,w63,564163,84.55,15.45,24.41
lru,lru,wb-et,29.35084363,0.68521093,w97,245188,2.95,97.05,22.04
lru,lru,wb-et,148.3281712,0.212216138,w25,3640951,88.63,11.37,16.0
lru,lru,wb-et,3.408133885,0.03331094,w82,279678,56.89,43.11,0.92
lru,lru,wb-et,40.5112182,0.833495493,w92,396548,95.61,4.39,14.74
lru,lru,wb-et,0.184442349,0.837417231,w73,173876,67.2,32.8,9.97
arc,arc,wb-et,79.85721268,0.723806759,w34,2243971,83.25,16.75,12.29
lru,lru,wb-et,47.11114908,0.490249768,w89,125386,40.17,59.83,25.65
arc,arc,wb-et,73.3273892,0.81435692,w104,235503,83.15,16.85,50.98
arc,arc,wb-et,2.231620765,0.363995647,w74,113584,24.73,75.27,4.97
lru,lru,wb-et,18.85679702,0.266969626,w41,157994,15.99,84.01,8.34
arc,arc,wb-et,519.0144621,0.275313973,w13,3543451,59.2,40.8,13.63
arc,arc,wb-et,3806.882605,0.303908362,w03,17467759,75.74,24.26,16.69
arc,arc,wb-et,19.36465987,0.724014551,w83,157428,63.65,36.35,31.43
lru,lru,wb-et,128.8594118,0.641556342,w16,865023,87.32,12.68,18.22
arc,arc,wb-et,864.7250692,0.612119609,w21,6771666,97.59,2.41,9.5
arc,arc,wb-et,123.9251294,0.389359596,w29,524248,81.32,18.68,23.58
arc,arc,wb-et,61.87299544,0.13854868,w51,761128,86.39,13.61,6.71
lru,lru,wb-et,26.91863327,0.119587028,w71,290967,38.41,61.59,5.75
lru,lru,wb-et,60.54481635,0.865239244,w85,405302,97.4,2.6,14.13
lru,lru,wb-et,16.98371577,0.515987986,w68,376853,9.44,90.56,4.33
arc,arc,wb-et,18.70910598,0.21385244,w35,651133,3.26,96.74,2.45
lru,lru,wb-et,32.71445417,0.252348713,w49,1092250,75.96,24.04,11.22
arc,arc,wb-et,24.8711771,0.341484288,w91,217746,80.61,19.39,18.42
lru,lru,wb-et,68.58050159,0.836211086,w92,396548,95.61,4.39,14.74
arc,arc,wb-et,59.90600554,0.597298058,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,1530.745129,0.811337323,w64,1178756,91.66,8.34,78.35
lru,lru,wb-et,0.27999125,0.812739891,w96,168442,5.02,94.98,13.79
arc,arc,wb-et,52.31666867,0.460270283,w38,660412,56.94,43.06,7.4
lru,lru,wb-et,34.2831665,0.140563583,w75,411410,16.12,83.88,6.76
lru,lru,wb-et,25.32094526,0.570568939,w60,460498,74.99,25.01,11.26
lru,lru,wb-et,2292.444579,0.386116961,w05,13225814,90.41,9.59,15.37
arc,arc,wb-et,10.62068886,0.385274706,w57,375954,9.49,90.51,3.17
arc,arc,wb-et,148.4563368,0.295861628,w18,896239,80.64,19.36,14.81
arc,arc,wb-et,90.56307262,0.711533698,w15,638670,82.33,17.67,21.82
arc,arc,wb-et,11.44373403,0.458824791,w77,275631,57.56,42.44,13.38
arc,arc,wb-et,0.640180705,0.635048945,w68,376853,9.44,90.56,4.33
lru,lru,wb-et,70.97715893,0.279528175,w69,417360,77.7,22.3,12.91
lru,lru,wb-et,42.39014407,0.525331344,w23,1712812,58.01,41.99,7.42
lru,lru,wb-et,3.910339041,0.700835071,w105,243780,89.94,10.06,17.41
arc,arc,wb-et,62.01365448,0.415248289,w63,564163,84.55,15.45,24.41
lru,lru,wb-et,50.03446214,0.865214926,w85,405302,97.4,2.6,14.13
arc,arc,wb-et,181.5698778,0.305634471,w28,1287044,41.8,58.2,22.41
lru,lru,wb-et,193.4943334,0.367572335,w29,524248,81.32,18.68,23.58
arc,arc,wb-et,2.350649273,0.168690928,w67,167197,36.15,63.85,5.03
arc,arc,wb-et,487.7997198,0.815735872,w21,6771666,97.59,2.41,9.5
lru,lru,wb-et,16.23840871,0.048179365,w39,962521,0.97,99.03,1.31
arc,arc,wb-et,13.84009504,0.467373403,w68,376853,9.44,90.56,4.33
arc,arc,wb-et,42.36369689,0.507400353,w89,125386,40.17,59.83,25.65
lru,lru,wb-et,53.18692247,0.652239579,w100,236756,2.89,97.11,23.29
lru,lru,wb-et,71.1741617,0.295974536,w44,291584,87.51,12.49,14.26
lru,lru,wb-et,14.65076398,0.293437092,w73,173876,67.2,32.8,9.97
arc,arc,wb-et,252.3757888,0.362049262,w46,5116665,25.78,74.22,21.84
lru,lru,wb-et,87.19372268,0.279516744,w28,1287044,41.8,58.2,22.41
lru,lru,wb-et,1631.615663,0.708265371,w53,1870559,86.76,13.24,62.2
arc,arc,wb-et,23.16895142,0.662453592,w101,238962,2.86,97.14,24.64
lru,lru,wb-et,4.238573297,0.830677362,w65,981095,96.09,3.91,13.97
lru,lru,wb-et,234.3119967,0.71730377,w34,2243971,83.25,16.75,12.29
lru,lru,wb-et,77.54272461,0.404771022,w27,484417,78.97,21.03,25.15
lru,lru,wb-et,67.62711492,0.182565771,w38,660412,56.94,43.06,7.4
lru,lru,wb-et,1012.146939,0.714854545,w03,17467759,75.74,24.26,16.69
arc,arc,wb-et,5.354499232,0.466118629,w70,558126,10.08,89.92,5.38
arc,arc,wb-et,13.12798004,0.576319693,w68,376853,9.44,90.56,4.33
lru,lru,wb-et,3.260968278,0.495143093,w76,124550,12.84,87.16,13.22
lru,lru,wb-et,375.484179,0.237404477,w34,2243971,83.25,16.75,12.29
lru,lru,wb-et,167.3573371,0.643263926,w46,5116665,25.78,74.22,21.84
arc,arc,wb-et,45.49921503,0.106400249,w70,558126,10.08,89.92,5.38
arc,arc,wb-et,40.02369969,0.528047839,w89,125386,40.17,59.83,25.65
lru,lru,wb-et,0.951284976,0.717819516,w66,558560,61.15,38.85,0.49
arc,arc,wb-et,175.5082863,0.258970079,w18,896239,80.64,19.36,14.81
arc,arc,wb-et,43.79853317,0.82996059,w104,235503,83.15,16.85,50.98
arc,arc,wb-et,153.1876508,0.722859197,w46,5116665,25.78,74.22,21.84
lru,lru,wb-et,67.88660618,0.570665847,w61,660778,68.59,31.41,10.86
lru,lru,wb-et,3.890926755,0.847972121,w99,279021,94.97,5.03,16.21
lru,lru,wb-et,20.99546569,0.141796276,w71,290967,38.41,61.59,5.75
arc,arc,wb-et,486.1994714,0.769710298,w53,1870559,86.76,13.24,62.2
lru,lru,wb-et,78.24621979,0.690895409,w43,1390682,50.63,49.37,11.06
arc,arc,wb-et,14.7593011,0.146821745,w88,237846,32.58,67.42,5.02
lru,lru,wb-et,5.841270741,0.537456691,w57,375954,9.49,90.51,3.17
arc,arc,wb-et,3.217110949,0.166315493,w84,420458,10.24,89.76,7.95
lru,lru,wb-et,2.127031011,0.135058944,w70,558126,10.08,89.92,5.38
lru,lru,wb-et,2.874513504,0.603043598,w41,157994,15.99,84.01,8.34
arc,arc,wb-et,121.446158,0.392842718,w43,1390682,50.63,49.37,11.06
lru,lru,wb-et,142.2093261,0.351562452,w79,241488,38.46,61.54,61.67
arc,arc,wb-et,0.589731792,0.330689041,w80,218031,71.32,28.68,4.58
lru,lru,wb-et,23.86315668,0.309221424,w76,124550,12.84,87.16,13.22
lru,lru,wb-et,76.42597677,0.191954962,w61,660778,68.59,31.41,10.86
arc,arc,wb-et,21.51849877,0.410729466,w68,376853,9.44,90.56,4.33
lru,lru,wb-et,0.839086925,0.044333706,w82,279678,56.89,43.11,0.92
lru,lru,wb-et,77.23880351,0.72475318,w93,351236,87.72,12.28,19.28
lru,lru,wb-et,172.9618218,0.56352275,w24,1100386,80.61,19.39,19.91
arc,arc,wb-et,84.38870543,0.521178285,w83,157428,63.65,36.35,31.43
arc,arc,wb-et,58.9935235,0.222211907,w44,291584,87.51,12.49,14.26
lru,lru,wb-et,39.44458141,0.30139164,w69,417360,77.7,22.3,12.91
arc,arc,wb-et,127.5302194,0.290577328,w24,1100386,80.61,19.39,19.91
arc,arc,wb-et,0.796687204,0.044729002,w82,279678,56.89,43.11,0.92
lru,lru,wb-et,1032.980746,0.749661343,w09,10826961,80.14,19.86,15.67
arc,arc,wb-et,11.51166557,0.207215565,w80,218031,71.32,28.68,4.58
lru,lru,wb-et,1.284199752,0.593085227,w30,704212,2.26,97.74,6.82
lru,lru,wb-et,48.84227306,0.135022148,w51,761128,86.39,13.61,6.71
arc,arc,wb-et,35.39591176,0.152432038,w11,4531948,65.3,34.7,0.98
arc,arc,wb-et,189.8512161,0.627230616,w21,6771666,97.59,2.41,9.5
lru,lru,wb-et,4.739030754,0.601166518,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,55.07654783,0.623525215,w100,236756,2.89,97.11,23.29
lru,lru,wb-et,21.78893817,0.467086719,w68,376853,9.44,90.56,4.33
arc,arc,wb-et,46.45520186,0.720472223,w44,291584,87.51,12.49,14.26
arc,arc,wb-et,16.65196671,0.559326576,w30,704212,2.26,97.74,6.82
lru,lru,wb-et,56.37568432,0.639855164,w62,292110,89.7,10.3,33.27
lru,lru,wb-et,40.98053813,0.10184416,w70,558126,10.08,89.92,5.38
arc,arc,wb-et,17.41032078,0.537160232,w30,704212,2.26,97.74,6.82
arc,arc,wb-et,69.48025877,0.642116173,w100,236756,2.89,97.11,23.29
lru,lru,wb-et,49.46396577,0.814886061,w81,373197,90.91,9.09,13.54
lru,lru,wb-et,17.4087125,0.17155384,w106,139141,19.98,80.02,7.58
lru,lru,wb-et,5.560320071,0.439941057,w40,181276,2.36,97.64,7.69
lru,lru,wb-et,0.673924243,0.44299806,w57,375954,9.49,90.51,3.17
lru,lru,wb-et,34.9494993,0.005934767,w02,16043393,98.67,1.33,0.16
arc,arc,wb-et,17.99681475,0.348985861,w57,375954,9.49,90.51,3.17
lru,lru,wb-et,225.2927085,0.371599736,w13,3543451,59.2,40.8,13.63
arc,arc,wb-et,926.3909079,0.256878727,w14,7587257,75.6,24.4,22.3
lru,lru,wb-et,196.3308876,0.762565169,w86,243749,44.47,55.53,74.81
lru,lru,wb-et,1.354186191,0.382924254,w45,211432,0.59,99.41,1.9
arc,arc,wb-et,97.97102326,0.842632636,w31,13975082,93.99,6.01,14.77
arc,arc,wb-et,42.75522464,0.222948945,w18,896239,80.64,19.36,14.81
lru,lru,wb-et,0.837714716,0.320897159,w33,247964,4.33,95.67,7.03
lru,lru,wb-et,4.565460039,0.683863904,w41,157994,15.99,84.01,8.34
lru,lru,wb-et,11.29601391,0.200484318,w67,167197,36.15,63.85,5.03
arc,arc,wb-et,543.186447,0.833956267,w20,7027218,87.87,12.13,23.47
lru,lru,wb-et,30.32989683,0.720761714,w43,1390682,50.63,49.37,11.06
lru,lru,wb-et,62.88763465,0.170812147,w17,1456893,12.4,87.6,4.14
arc,arc,wb-et,83.07406589,0.454023382,w26,1668986,50.76,49.24,11.55
lru,lru,wb-et,8.251372733,0.527916454,w62,292110,89.7,10.3,33.27
arc,arc,wb-et,40.43962184,0.747038191,w10,12588003,89.82,10.18,14.53
lru,lru,wb-et,1171.301738,0.407182431,w46,5116665,25.78,74.22,21.84
lru,lru,wb-et,120.6509328,0.579015666,w50,768251,94.99,5.01,13.52
arc,arc,wb-et,281.4610552,0.761948911,w86,243749,44.47,55.53,74.81
arc,arc,wb-et,13.28675818,0.249823549,w102,117154,6.73,93.27,9.19
lru,lru,wb-et,12.33836062,0.310320085,w41,157994,15.99,84.01,8.34
lru,lru,wb-et,9.04844892,0.065053445,w39,962521,0.97,99.03,1.31
arc,arc,wb-et,2419.644589,0.84198937,w31,13975082,93.99,6.01,14.77
lru,lru,wb-et,2276.758554,0.355912607,w14,7587257,75.6,24.4,22.3
arc,arc,wb-et,7.297966047,0.39543929,w61,660778,68.59,31.41,10.86
arc,arc,wb-et,18.7597028,0.209375267,w52,232513,66.99,33.01,6.94
lru,lru,wb-et,63.75928846,0.341360988,w42,798236,67.9,32.1,8.93
arc,arc,wb-et,73.14424638,0.295974536,w44,291584,87.51,12.49,14.26
arc,arc,wb-et,13.02650372,0.215240119,w73,173876,67.2,32.8,9.97
lru,lru,wb-et,18.14681903,0.252992507,w95,151279,49.05,50.95,9.4
arc,arc,wb-et,23.07430882,0.144241163,w75,411410,16.12,83.88,6.76
lru,lru,wb-et,96.51384304,0.206190186,w92,396548,95.61,4.39,14.74
lru,lru,wb-et,1.072308402,0.858125044,w55,150445,66.56,33.44,57.71
lru,lru,wb-et,26.1988622,0.623753299,w101,238962,2.86,97.14,24.64
arc,arc,wb-et,3.133753297,0.027441783,w66,558560,61.15,38.85,0.49
lru,lru,wb-et,7.318687241,0.036963937,w02,16043393,98.67,1.33,0.16
lru,lru,wb-et,2714.219336,0.549527431,w04,18034724,74.22,25.78,15.69
arc,arc,wb-et,105.5633228,0.401673295,w79,241488,38.46,61.54,61.67
lru,lru,wb-et,58.33683004,0.233749611,w93,351236,87.72,12.28,19.28
lru,lru,wb-et,2317.019424,0.264022929,w10,12588003,89.82,10.18,14.53
arc,arc,wb-et,1.589667373,0.43944433,w68,376853,9.44,90.56,4.33
lru,lru,wb-et,46.43879681,0.181154976,w78,385485,53.72,46.28,12.37
arc,arc,wb-et,7.918908969,0.200169056,w88,237846,32.58,67.42,5.02
lru,lru,wb-et,3.404943281,0.226584573,w56,552309,8.42,91.58,2.09
lru,lru,wb-et,37.88375482,0.663077963,w23,1712812,58.01,41.99,7.42
