,bill_length_mm,bill_depth_mm,correlation,variance,skewness,neigh,split_up,fan
194,50.9,19.1,True,False,False,True,False,False
195,45.5,17.0,True,False,True,False,False,False
196,50.9,17.9,False,True,False,True,False,False
197,50.8,18.5,False,True,False,False,False,False
198,50.1,17.9,False,True,False,True,False,False
199,49.0,19.6,False,False,False,False,False,False
200,51.5,18.7,False,True,False,False,False,False
201,49.8,17.3,False,True,False,True,False,False
202,48.1,16.4,True,False,False,False,False,False
203,51.4,19.0,False,True,False,False,False,False
204,45.7,17.3,False,True,True,False,False,False
205,50.7,19.7,False,False,False,True,False,False
206,42.5,17.3,True,True,True,True,False,False
207,52.2,18.8,False,False,False,False,False,False
208,45.2,16.6,False,False,False,False,False,False
209,49.3,19.9,False,False,False,False,False,False
210,50.2,18.8,False,True,False,False,False,False
211,45.6,19.4,False,False,False,False,False,False
212,51.9,19.5,False,False,False,False,False,False
213,46.8,16.5,True,True,True,True,False,False
214,45.7,17.0,True,False,True,False,False,False
215,55.8,19.8,False,False,False,False,False,False
216,43.5,18.1,True,False,False,False,False,False
217,49.6,18.2,False,False,False,False,False,False
218,50.8,19.0,False,True,False,False,False,False
219,50.2,18.7,False,True,False,False,False,False
220,46.1,13.2,True,True,True,False,False,False
221,50.0,16.3,True,True,True,True,False,False
222,48.7,14.1,False,False,False,False,False,False
223,50.0,15.2,True,False,True,False,False,False
224,47.6,14.5,False,True,True,False,False,False
225,46.5,13.5,True,True,True,False,False,False
226,45.4,14.6,False,False,True,True,True,False
227,46.7,15.3,False,True,False,True,False,False
228,43.3,13.4,True,False,True,True,False,False
229,46.8,15.4,False,True,False,True,False,False
230,40.9,13.7,False,False,False,False,False,False
231,49.0,16.1,True,False,False,False,False,False
232,45.5,13.7,True,True,True,True,True,False
233,48.4,14.6,True,True,True,False,False,False
234,45.8,14.6,False,False,True,True,True,False
235,49.3,15.7,True,True,True,False,False,False
236,42.0,13.5,True,False,True,True,False,False
237,49.2,15.2,False,False,False,True,False,False
238,46.2,14.5,False,True,True,False,False,False
239,48.7,15.1,False,False,False,True,False,False
240,50.2,14.3,False,False,False,False,False,False
241,45.1,14.5,False,False,True,True,True,False
242,46.5,14.5,False,True,True,False,False,False
243,46.3,15.8,False,False,True,False,False,False
244,42.9,13.1,True,False,True,True,False,False
245,46.1,15.1,False,True,False,True,False,False
247,47.8,15.0,False,True,False,True,False,False
248,48.2,14.3,True,True,True,False,False,False
249,50.0,15.3,True,False,True,False,False,False
250,47.3,15.3,False,True,False,True,False,False
251,42.8,14.2,True,True,False,False,False,False
252,45.1,14.5,False,False,True,True,True,False
253,59.6,17.0,False,False,False,False,False,False
254,49.1,14.8,True,True,True,False,False,False
255,48.4,16.3,True,False,False,False,False,False
256,42.6,13.7,True,True,False,False,False,False
257,44.4,17.3,False,True,True,False,False,False
258,44.0,13.6,True,True,True,True,False,False
259,48.7,15.7,True,True,True,False,False,False
260,42.7,13.7,True,True,False,False,False,False
261,49.6,16.0,True,True,True,False,False,False
262,45.3,13.7,True,True,True,True,True,False
263,49.6,15.0,False,False,False,True,False,False
264,50.5,15.9,True,False,False,False,False,False
265,43.6,13.9,True,True,False,False,False,False
266,45.5,13.9,True,True,True,True,True,False
267,50.5,15.9,True,False,False,False,False,False
268,44.9,13.3,True,True,True,True,False,False
269,45.2,15.8,False,False,False,False,False,False
270,46.6,14.2,False,False,True,True,False,False
271,48.5,14.1,False,False,False,False,False,False
272,45.1,14.4,False,False,True,True,True,False
273,50.1,15.0,True,False,True,False,False,False
274,46.5,14.4,False,True,True,False,False,False
275,45.0,15.4,False,False,False,False,False,False
276,43.8,13.9,True,True,False,False,False,False
277,45.5,15.0,False,False,False,False,False,False
278,43.2,14.5,False,False,False,False,False,False
279,50.4,15.3,True,False,True,False,False,False
280,45.3,13.8,True,True,True,True,True,False
281,46.2,14.9,False,True,False,True,False,False
282,45.7,13.9,True,True,True,True,True,False
283,54.3,15.7,False,False,False,False,False,False
284,45.8,14.2,True,True,True,True,True,False
285,49.8,16.8,True,True,True,False,False,False
287,49.5,16.2,True,False,False,False,False,False
288,43.5,14.2,True,True,False,False,False,False
289,50.7,15.0,True,False,True,False,False,False
290,47.7,15.0,False,True,False,True,False,False
291,46.4,15.6,False,False,True,False,False,False
292,48.2,15.6,True,True,True,False,False,False
293,46.5,14.8,False,True,True,False,False,False
294,46.4,15.0,False,True,False,True,False,False
295,48.6,16.0,True,True,True,False,False,False
296,47.5,14.2,False,False,True,True,False,False
297,51.1,16.3,True,True,True,True,False,False
298,45.2,13.8,True,True,True,True,True,False
299,45.2,16.4,False,False,False,False,False,False
300,49.1,14.5,True,True,True,False,False,False
301,52.5,15.6,False,False,False,False,False,False
302,47.4,14.6,False,True,True,False,False,False
303,50.0,15.9,True,False,False,False,False,False
304,44.9,13.8,True,True,True,True,True,False
305,50.8,17.3,False,True,False,True,False,False
306,43.4,14.4,False,False,False,False,False,False
307,51.3,14.2,False,False,False,False,False,False
308,47.5,14.0,False,False,True,True,False,False
309,52.1,17.0,False,False,False,False,False,False
310,47.5,15.0,False,True,False,True,False,False
311,52.2,17.1,False,False,False,False,False,False
312,45.5,14.5,False,False,True,True,True,False
313,49.5,16.1,True,False,False,False,False,False
314,44.5,14.7,False,False,True,True,True,False
315,50.8,15.7,True,False,False,False,False,False
316,49.4,15.8,True,True,True,False,False,False
317,46.9,14.6,False,True,True,False,False,False
318,48.4,14.4,True,True,True,False,False,False
319,51.1,16.5,True,True,True,True,False,False
320,48.5,15.0,False,False,False,True,False,False
321,55.9,17.0,False,False,False,False,False,False
322,47.2,15.5,False,False,True,False,False,False
323,49.1,15.0,False,False,False,True,False,False
325,46.8,16.1,True,True,True,True,False,False
326,41.7,14.7,False,False,False,False,False,False
327,53.4,15.8,False,False,False,False,False,False
328,43.3,14.0,True,True,False,False,False,False
329,48.1,15.1,False,False,False,True,False,False
330,50.5,15.2,True,False,True,False,False,False
331,49.8,15.9,True,False,False,False,False,False
332,43.5,15.2,False,False,False,False,False,False
333,51.5,16.3,True,True,True,True,False,False
334,46.2,14.1,False,False,True,True,False,False
335,55.1,16.0,False,False,False,False,False,False
337,48.8,16.2,True,False,False,False,False,False
338,47.2,13.7,False,False,True,True,False,False
340,46.8,14.3,False,True,True,False,False,False
341,50.4,15.7,True,False,False,False,False,False
342,45.2,14.8,False,False,True,True,True,False
343,49.9,16.1,True,True,True,True,False,False
